id;height;age;Seed
S301;4.51;3;301
S301;10.89;5;301
S301;28.72;10;301
S301;41.74;15;301
S301;52.7;20;301
S301;60.92;25;301
S303;4.55;3;303
S303;10.92;5;303
S303;29.07;10;303
S303;42.83;15;303
S303;53.88;20;303
S303;63.39;25;303
S305;4.79;3;305
S305;11.37;5;305
S305;30.21;10;305
S305;44.4;15;305
S305;55.82;20;305
S305;64.1;25;305
S307;3.91;3;307
S307;9.48;5;307
S307;25.66;10;307
S307;39.07;15;307
S307;50.78;20;307
S307;59.07;25;307
S309;4.81;3;309
S309;11.2;5;309
S309;28.66;10;309
S309;41.66;15;309
S309;53.31;20;309
S309;63.05;25;309
S311;3.88;3;311
S311;9.4;5;311
S311;25.99;10;311
S311;39.55;15;311
S311;51.46;20;311
S311;59.64;25;311
S315;4.32;3;315
S315;10.43;5;315
S315;27.16;10;315
S315;40.85;15;315
S315;51.33;20;315
S315;60.07;25;315
S319;4.57;3;319
S319;10.57;5;319
S319;27.9;10;319
S319;41.13;15;319
S319;52.43;20;319
S319;60.69;25;319
S321;3.77;3;321
S321;9.03;5;321
S321;25.45;10;321
S321;38.98;15;321
S321;49.76;20;321
S321;60.28;25;321
S323;4.33;3;323
S323;10.79;5;323
S323;28.97;10;323
S323;42.44;15;323
S323;53.17;20;323
S323;61.62;25;323
S325;4.38;3;325
S325;10.48;5;325
S325;27.93;10;325
S325;40.2;15;325
S325;50.06;20;325
S325;58.49;25;325
S327;4.12;3;327
S327;9.92;5;327
S327;26.54;10;327
S327;37.82;15;327
S327;48.43;20;327
S327;56.81;25;327
S329;3.93;3;329
S329;9.34;5;329
S329;26.08;10;329
S329;37.79;15;329
S329;48.31;20;329
S329;56.43;25;329
S331;3.46;3;331
S331;9.05;5;331
S331;25.85;10;331
S331;39.15;15;331
S331;49.12;20;331
S331;59.49;25;331
